user_id,num_topics,tweets_per_day,delta_following_changes,delta_followers_changes,delta_bio_changes,activity_level,kmeans_cluster,pca1,pca2
@SeekingAlpha,5,77.5,3,0,0,high,10,1.761612059570823,4.005054170481165
@Algo_Trading_X,5,2.225806451612903,0,0,0,medium,1,-0.1860051436907356,-0.05962705302507302
@FT_SriLanka,5,7.1875,0,0,0,high,1,-0.05835728095322506,0.20867749872608907
@SirPayXDay,5,2.4761904761904763,187,8,0,medium,1,0.5277134364972677,-0.41616365309527864
@ColumbiaSpec,5,4.0,0,0,0,medium,1,-0.14036104811616862,0.03631281107123851
@99966Haylo,5,1.8666666666666667,0,0,0,medium,1,-0.195244615158557,-0.07904760733305367
@middaygujarati,5,19.33333333333333,9,-7,0,high,3,0.27181406885117704,0.8563719324514363
@deepblu,5,3.1666666666666665,11,43,0,medium,1,-0.02609205750591691,-0.08072064609295175
@Randylearyooo,5,2.741228070175439,72,37,0,medium,1,0.17462864081965077,-0.2142835743241695
@ABBONews,5,16.8,0,0,0,high,0,0.18894035413816163,0.7284753214969915
@TiknisArts,5,8.666666666666666,39,23,0,high,1,0.17440331124600428,0.18630235885102708
@DubemTalented,5,7.7,0,5,0,high,1,-0.03410903514207273,0.23048904968710993
@lockandloadbet,5,4.870967741935484,273,27,0,medium,1,0.9484948014295931,-0.4749457567713525
@alphaprofx,5,1.011904761904762,0,4,0,medium,1,-0.20838413325619398,-0.12999061461821015
@TonemanLives,5,1.0555555555555556,0,0,0,medium,1,-0.21611180471113176,-0.1229085997471856
@adnan_hashmi,5,2.025,4,6,0,medium,1,-0.1631449511822458,-0.08528216031176572
@DefinedLearning,5,2.325,0,0,0,medium,1,-0.18345322380179388,-0.05426314244150649
@BobbyBetBot,5,2.32,0,0,0,medium,1,-0.18358185716204947,-0.054533518422141554
@Solix_Trade,5,25.25,1,-21,0,high,3,0.36355233279655186,1.2082705557555309
@oncodaily,5,14.466666666666669,-17,196,0,high,0,0.49990514604073477,0.4037267882585345
@SparkAlistair,5,6.318181818181818,15,5,0,high,1,-0.014345058691459524,0.1268391808661647
@terry_legg,5,2.333333333333333,-4,27,15,medium,1,-0.668063616611265,0.4216852221804922
@Adibfaizz,5,3.217948717948718,72,13,0,medium,1,0.13378910993713417,-0.16017527393848388
@DailyTrendsFee1,5,2.463414634146341,0,0,0,medium,1,-0.17989227590203527,-0.0467783439531945
@TalentTimo41431,5,1.3636363636363635,2,-18,0,medium,1,-0.24063874449575584,-0.08885895351621971
@DanielBrobecker,5,2.5,0,0,0,medium,1,-0.17895105619284796,-0.04479998311927939
@BotaniBoost,5,2.333333333333333,0,0,0,medium,1,-0.18323883486803455,-0.05381251580711475
@BTCInfoNews,5,3.971428571428572,0,-57,0,medium,1,-0.2672180166775282,0.10205045788403927
@Mark_Astrology,5,1.9489795918367347,929,109,0,medium,7,3.473806665230093,-1.994853655787538
